ticker
SMH
PUBM
API
LOGI
ABC
VFC
GRAB
ACWI
BBWI
EXPD
VWO
AU
CVAC
AMPL
SKYY
UUP
ASND
ADT
BMO
TD
MBB
ANSS
O
DB
UMC
ARKK
CVNA
V
CCI
HPE
AVGO
PFE
VTI
RACE
VRTX
TER
JMIA
AMZN
LUMN
VRSN
HES
KD
AAP
BAC
OTLY
PLBY
MTCH
BIRD
NUE
EA
MSI
PLUG
KLTR
SPHD
SAP
FRSH
NU
BBY
JBLU
VMEO
SNPS
EC
ENPH
AON
SQ
SDC
TXN
JLL
AMED
BMBL
KSS
BA
PSX
DKNG
AMH
SCCO
HAL
BF.B
PHM
GAP
EIDO
MPC
TWST
PRU
UNH
MMM
NMR
SHOP
NOW
DD
TDUP
AKAM
DG
CRM
BIDU
HOLX
CVS
CPRI
NYT
AES
M
ALGN
SPWR
SAN
PLD
ACAD
VEA
GRMN
DUK
CTSH
UPS
MMC
CZR
PAYC
SWKS
D
IDXX
VSCO
TWLO
BBVA
ARVL
RMD
SE
FUBO
TECH
WDAY
FIVN
FIVE
ZTS
ZG
ARE
BMY
HUM
AMAT
TROW
ML
HON
NEE
MDB
ABT
GTLB
PG
ALL
DHI
SFIX
SPG
CNI
LOGC
IGOV
HLF
AMGN
NKLA
PTON
USB
BIO
SNN
TSM
DUOL
PUK
DOCU
AFL
GLW
HRL
KLAC
TME
MNST
IAC
GDDY
BP
VTV
SEDG
XLB
BCS
ENTG
ADM
LRCX
NTES
NFLX
MKC
BLK
WFC
KO
GIS
QS
WYNN
TMUS
ONL
LI
CPB
PPG
MAT
ROK
ALLY
WPM
MT
ADI
CHD
LMT
CPNG
STX
DOCN
WMT
AXP
MTTR
PXD
MELI
SONY
ABBV
KEYS
SNAP
MFC
MSFT
FSLR
RL
CSX
PSA
GOOG
LW
IRM
FXLV
SQSP
WMB
DASH
XRAY
FSLY
ACN
TTWO
ODFL
HLT
DPZ
DLTR
VNQ
ABNB
CMCSA
WIT
FDX
CHTR
ZS
DHR
MDLZ
NOC
ABCL
KMX
SYY
PARA
EXR
INTU
HPQ
ILMN
KEY
AME
GPN
UNP
CRWD
LNT
JPM
WDC
SPY
CRL
FANG
EDR
ABB
AQN
GT
PAYO
VLO
ORCL
VNQI
BKNG
SWK
CF
CHWY
FCEL
APPN
WB
ALC
AWK
HOOD
CINF
PSEC
RELY
ECL
NLY
FTNT
JNJ
MLAC
HOG
BNS
AGNC
SLV
AOR
MAR
VMW
CIBR
VZ
FIGS
ANGI
YUMC
U
AMD
NKE
CS
CRON
WBA
XEL
CTLT
NIO
GME
DXCM
K
ACI
FVRR
KMI
LEVI
INTC
ROST
UPWK
COIN
DISH
A
HAS
FMC
BNGO
DVA
ISRG
UPST
META
JD
KKR
SBUX
IVZ
DECK
KR
DBX
AIG
GPRO
LEN
NVO
CVE
NET
BUD
BSX
SAVA
RJF
BILL
TSP
PGX
TEAM
ITW
BHP
TASK
TTD
BND
DBA
ANET
LVS
PDBC
ALLE
CSCO
KMB
ACM
PWR
PATH
HSY
BRDS
ADSK
GSK
LAZR
TXG
DNUT
PINS
ASML
AZN
HD
NDAQ
MCHP
MU
RCL
AEG
CAG
ADBE
OMC
QCOM
RBLX
UAL
GOLD
CAT
DVN
SKLZ
FCX
ARR
CROX
NVDA
SPCE
LULU
WM
HDV
IIPR
GS
WSM
EQNR
AIV
CB
FE
HNST
CNQ
DAL
ZBH
CHRW
MANU
NVAX
APD
MAIN
EPAM
BTI
BKCC
CGC
ALB
BKR
EXFY
CAH
OXY
MSTR
MQ
CDW
AGCO
BBIO
OTIS
VTRS
E
ALNY
FTCH
VGT
SPLK
DOW
TJX
STM
OKTA
ASAN
MRNA
AAPL
SAVE
LHX
SPLV
XLF
LIN
AOS
ADP
INO
GDX
EOG
SNY
LYFT
JCI
MO
FOX
BABA
JBHT
TMO
CLX
CG
SU
HMY
XLU
SPOT
EXPE
PHG
NTR
MRVL
ENB
MCO
AEM
WE
USO
IT
HCA
TSLA
EBAY
LCID
ATER
EQIX
BTWN
NEM
DLR
XLE
LTC
AFRM
MCD
TGT
ING
ED
FUTU
SCHW
UAA
LMND
WMG
MRK
JPIN
PYPL
ADPT
TSN
SAM
XLV
IWM
CTAS
CL
BC
SOFI
IEF
GE
CI
NTAP
MGM
TPR
LYV
FFIV
RYAAY
XLP
GFI
AMC
SNOW
PLTR
KHC
AMWL
BK
EH
EL
PANW
TRI
UBER
ATVI
LYB
DE
DGX
PAYX
PGR
TTE
AEP
AMT
BRZE
XPEV
CELH
ALLK
FXI
QRTEA
RTX
BB
ASX
CUBE
TLT
C
GILD
TM
SHEL
COP
CVX
XOM
ETSY
ATO
PEP
FIZZ
SLB
T
BIIB
BNTX
MA
MSCI
EMR
TSCO
XLY
DDOG
AZO
ANF
QQQ
DOV
IBM
PM
DLB
CCL
ICL
TCOM
BOTZ
HUBS
NCLH
BOX
RY
H
LUV
PRTS
CNC
CRSR
NVS
IQ
ULTA
BX
GM
ZM
ARKO
APTV
LQD
RIVN
COF
COST
MRO
WEN
APO
YUM
ESS
IDEX
VIPS
NEGG
WIX
LLY
WMS
AMCR
INCY
BDX
FNKO
UL
CRSP
AI
NRDS
SBSW
WU
BNDX
BAX
CME
FIS
VALE
CMG
SJM
DIA
TRIP
GPC
VYM
TEF
CDNS
REGN
XYL
RENT
ICLN
MCK
ASTS
TDOC
SPGI
NNDM
ARCC
NOK
AAL
MS
LOW
KB
AFG
NRG
COUR
F
VIG
HBAN
OPEN
MTB
SIRI
DELL
TTCF
KGC
BAH
BYND
VTIP
BLOK
BEN
MDT
TWTR
ERIC
GD
DIS
